Site_ID,Site_Name,year,season,avg_daily_min_pm25,avg_daily_max_pm25,avg_daily_mean_pm25,avg_daily_variance_pm25,p95_daily_max_pm25,median_daily_max_pm25,standard_deviation_of_daily_means,max_pm25,days_above_12,days_above_35,days_above_55,total_days,percent_days_moderate_or_worse,max_consecutive_days_above_35,max_consecutive_days_above_55,Census_Tract,Latitude,Longitude
20737,AZ South San Francisco,2023,Spring,-1.976599669247009,2.7656268167956846,-0.1448390789475109,2.6215409078521072,4.918126666666668,2.9661533333333336,1.2795804207444537,5.3564533333333335,0,0,0,21,0.0,0,0,6081602300,37.664036,-122.39622
21427,Grundy Park,2018,Winter,1.7111651313131317,7.014503292929294,3.948939501118563,3.6377393410559575,12.36000688888889,4.796248888888889,0.7538136636642216,13.389871111111113,1,0,0,5,20.0,0,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2019,Fall,3.0909217680366043,11.602131804976633,6.125699865493528,11.568792553643474,30.90388,7.176353333333333,4.491808583840544,44.70116,29,4,0,91,31.86813186813187,2,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2019,Spring,1.3124183673198258,5.813585520534556,3.2367111789093688,2.9459775547242213,13.989303737373739,4.750733333333334,1.9512892405618278,23.317557142857144,8,0,0,91,8.791208791208792,0,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2019,Summer,2.046285940009911,7.967143165796134,4.325497806558783,8.06946142702419,11.536599666666671,6.24014,1.7386359130786235,92.62035333333336,5,2,1,92,5.434782608695652,1,1,6081604000,37.622585,-122.42097
21427,Grundy Park,2019,Winter,1.3773795143058498,9.398290944573084,4.141936219276388,11.91842215577154,24.50592719047618,5.69317797979798,3.843476437377356,69.90498,23,3,1,90,25.555555555555557,1,1,6081604000,37.622585,-122.42097
21427,Grundy Park,2020,Fall,6.816156948339018,24.82291393488091,14.345302562338935,137.3999070521299,96.48327666666668,10.57426,25.09704080663321,264.00117401286803,39,14,9,91,42.857142857142854,6,5,6081604000,37.622585,-122.42097
21427,Grundy Park,2020,Spring,1.4139423220973786,5.048846720171215,3.126344541550659,1.537762916980254,9.410318666666658,4.506766666666667,1.4402588024468923,13.701486666666668,2,0,0,89,2.247191011235955,0,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2020,Summer,2.7511753873063474,17.80112271529317,7.239851363282564,100.13575885631148,85.77177900000004,5.900616666666666,8.683986565996616,232.20283164605203,15,12,10,92,16.304347826086957,5,4,6081604000,37.622585,-122.42097
21427,Grundy Park,2020,Winter,1.8588485992168755,11.67163614500442,5.652347349201028,14.305921142309685,29.374790000000008,8.741266666666668,4.406192003413765,42.74056,32,1,0,91,35.16483516483517,1,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2021,Fall,2.4382052848301132,11.455831133365814,6.0746858105506405,15.027607483023923,33.15059666666667,7.31852,5.277056196583387,68.48995333333335,27,2,1,91,29.67032967032967,1,1,6081604000,37.622585,-122.42097
21427,Grundy Park,2021,Spring,2.152751611855363,5.430263265867067,3.677580326469801,1.1771562007567327,8.978689000000001,5.255153678160919,1.3483728096032102,10.789653333333336,0,0,0,92,0.0,0,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2021,Summer,2.29030895802099,9.041266755426635,4.756822246016978,11.348256818140719,29.536072000000022,6.123970000000001,3.616821889032757,98.07583333333334,13,4,1,92,14.130434782608695,2,1,6081604000,37.622585,-122.42097
21427,Grundy Park,2021,Winter,1.9861250574712648,11.032598370370371,5.662617510311309,13.244208118332782,28.783459999999994,7.090303333333334,5.218544529016332,46.29348000000001,29,1,0,90,32.22222222222222,1,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2022,Fall,2.3967930402930406,9.218267541998232,5.279505080011477,6.121342926188808,19.358109999999996,7.29496,3.255421644525093,36.07616,25,1,0,91,27.47252747252747,1,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2022,Spring,1.664395766045549,5.290226329335333,3.3547561540301074,1.512144156747016,9.30086066666667,4.790721149425288,1.4341631552949086,14.19752,1,0,0,92,1.0869565217391304,0,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2022,Summer,1.5426809845077465,6.12989311594203,3.4258805163495714,5.157015476921641,12.398844,4.860143333333334,2.211441928578461,54.51192666666667,6,1,0,92,6.521739130434782,1,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2022,Winter,3.4542318569604094,16.081616027914617,8.591059436839782,20.712387884619506,34.587935666666674,15.062633333333334,6.956925389650043,46.313966666666666,51,4,0,90,56.666666666666664,1,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2023,Fall,2.2895715548819005,9.340164908424908,5.393934574283629,12.684678920244588,23.428483333333336,6.457386666666667,6.2482227601647145,84.64838,14,3,1,91,15.384615384615385,2,1,6081604000,37.622585,-122.42097
21427,Grundy Park,2023,Spring,0.9657356246876567,4.146855072463768,2.3723929204780054,1.1803264369422772,6.58272866666667,3.80846,1.1214172907964042,13.092333333333332,1,0,0,92,1.0869565217391304,0,0,6081604000,37.622585,-122.42097
21427,Grundy Park,2023,Summer,1.8130573913043484,7.487626296851574,3.940307073178441,8.000124957155176,16.049386000000002,5.153376666666667,2.991838205722191,83.99657931034483,9,3,1,92,9.782608695652174,2,1,6081604000,37.622585,-122.42097
21427,Grundy Park,2023,Winter,1.4568843703703709,9.299011558109834,4.257252727416429,8.913799786476599,22.882313666666672,6.690953333333334,3.661364861989986,43.25000000000001,24,1,0,90,26.666666666666668,1,0,6081604000,37.622585,-122.42097
