datasourceId,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.value,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.value,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.value,Name
DCVIM2201,2024-12-23T00:00:00.000Z,2024-12-24T00:00:00.000Z,37.63757,-122.4327,36.11,13.33,102,59,30.46,30.46,89.51,89.51,15.04,15.04,Brentwood Park
DCVIM2201,2025-01-21T00:00:00.000Z,2025-01-22T00:00:00.000Z,37.63757,-122.4327,4.52,4.93,25,27,4.78,4.78,52.85,52.85,9.51,9.51,Brentwood Park
DCVIM2201,2024-12-26T00:00:00.000Z,2024-12-27T00:00:00.000Z,37.63757,-122.4327,5.42,3.81,30,21,5.04,5.04,81.02,81.02,12.46,12.46,Brentwood Park
DCVIM2201,2025-01-24T00:00:00.000Z,2025-01-25T00:00:00.000Z,37.63757,-122.4327,30.82,16.23,91,64,27.91,27.91,62.15,62.15,10.58,10.58,Brentwood Park
DCVIM2201,2024-11-13T00:00:00.000Z,2024-11-14T00:00:00.000Z,37.63757,122.4327,3.9,3.75,22,21,3.69,3.69,75.34,75.34,11.67,11.67,Brentwood Park
DCVIM2201,2025-01-03T00:00:00.000Z,2025-01-04T00:00:00.000Z,37.63757,-122.4327,19.44,8.47,70,47,18.89,18.89,82.54,82.54,12.03,12.03,Brentwood Park
DCVIM2201,2025-01-04T00:00:00.000Z,2025-01-05T00:00:00.000Z,37.63757,-122.4327,8.74,4.97,48,27,7.16,7.16,85.3,85.3,10.85,10.85,Brentwood Park
DCVIM2201,2025-01-07T00:00:00.000Z,2025-01-08T00:00:00.000Z,37.63757,-122.4327,3.09,3.59,17,19,2.88,2.88,59.65,59.65,14.58,14.58,Brentwood Park
DCVIM2201,2025-01-09T00:00:00.000Z,2025-01-10T00:00:00.000Z,37.63757,-122.4327,5.88,5.54,32,31,6.46,6.46,57.48,57.48,11.63,11.63,Brentwood Park
DCVIM2201,2025-01-10T00:00:00.000Z,2025-01-11T00:00:00.000Z,37.63757,-122.4327,6.17,5.77,34,32,7.1,7.1,58.33,58.33,12.52,12.52,Brentwood Park
DCVIM2201,2025-01-13T00:00:00.000Z,2025-01-14T00:00:00.000Z,37.63757,-122.4327,5.15,5.06,28,28,4.58,4.58,57.78,57.78,11.51,11.51,Brentwood Park
