GEOID,NAME,unw_centroid_long,unw_centroid_lat,Estimated Population,Percent Non-Hispanic,Percent Non-Hispanic White ,Percent Non-Hispanic Black ,Percent Non-Hispanic American Indian/Alaska Native ,Percent Non-Hispanic Asian ,Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ,Percent Non-Hispanic Other ,Percent Non-Hispanic Two or More Races,Percent Hispanic ,Estimate Educated,Median Income ,Population Below Poverty Level,Population Income to Poverty Level,Percent Below 100% FPL,Percent Between 100% and 199% FPL,"Unemployment Rate, 16 and Over",Percent Below 200% FPL,Percent High School or Less,Percent Some College or Greater,Labor Force Participation Rate ,Percent Non-White,Redlining (HOLC Grade),Asthma Prevalence,Smoking Prevalence,Obesity Prevalence,COPD Prevalence,Lack of Health Care Access Prevalence,"ICE, Nonwhite by Income ","ICE, Rent Versus Owned ",Particulate Matter ,Housing Stress,Percent Population Within Half a Mile to Parks,Percent Population With Access to Healthy Foods
6081600100,Census Tract 6001; San Mateo County; California,-122.41190634,37.68743278,5070,78.2248520710059,39.3688362919132,0.019723865877712,0,34.9704142011834,0.473372781065089,0.394477317554241,2.99802761341223,21.7751479289941,3670,67440,5020,952,12.5,14.2857142857143,8.6,26.7857142857143,26.9754768392371,73.0245231607629,78.5314250155569,60.6311637080868,NA,8.6,9.6,21.7,4.6,5.5,63.7616937469227,62.136878385032,11.2623859662471,40.5717218373107,89,42.0786979810466
6081600200,Census Tract 6002; San Mateo County; California,-122.41566854,37.70448985,4155,73.6702767749699,1.63658243080626,2.3826714801444,0,58.2430806257521,6.06498194945848,1.46811070998797,3.8748495788207,26.3297232250301,3073,49659,4155,819,5.61660561660562,1.83150183150183,7.8,7.44810744810745,48.0637813211845,51.9362186788155,82.3798627002288,98.3634175691937,NA,8,10.8,19.8,4,9.6,46.5722120658135,71.2979890310786,11.2623859662471,40.5717218373108,89,42.0786979810466
6081600300,Census Tract 6003; San Mateo County; California,-122.43178293,37.70217273,4070,91.1056511056511,21.0565110565111,6.14250614250614,0,61.1547911547912,0,0.417690417690418,2.33415233415233,8.89434889434889,3145,52925,4070,726,8.26446280991736,7.16253443526171,4.2,15.4269972451791,28.6486486486486,71.3513513513514,74.492385786802,78.9434889434889,2.40522784830738,7.9,8.4,18.4,3.4,6.3,51.4684813753582,72.5644699140401,10.3843329506881,41.1955691367456,100,10.4544325800844
6081600401,Census Tract 6004.01; San Mateo County; California,-122.44445585,37.70544307,3391,82.1586552639339,10.8227661456797,13.7717487466824,0,51.6661751695665,0,0,5.89796520200531,17.8413447360661,2633,53422,3391,378,0,28.3068783068783,3.2,28.3068783068783,25.7121154576529,74.2878845423471,83.1054256726952,89.1772338543203,NA,7.7,9.4,19.3,3.8,6.8,50.262467191601,72.3534558180228,10.4064480330625,41.5178571428571,100,NA
6081600402,Census Tract 6004.02; San Mateo County; California,-122.45292003,37.70514271,4615,61.0834236186349,7.6056338028169,0,0,44.9620801733478,0,7.17226435536295,1.34344528710726,38.9165763813651,3558,37763,4582,402,22.3880597014925,30.0995024875622,9.8,52.4875621890547,50.1124227093873,49.8875772906127,88.0715705765408,92.3943661971831,NA,7.8,11.7,20.3,4.2,11.3,47.4093264248705,83.160621761658,11.2926928736676,45.9090909090909,100,NA
6081600501,Census Tract 6005.01; San Mateo County; California,-122.45843482,37.70005272,3709,60.7980587759504,9.35562146131033,0.296575896468051,0,49.6899433809652,0.350498786734969,0.0269614451334592,1.07845780533837,39.2019412240496,2926,46274,3709,581,10.8433734939759,36.3166953528399,4.2,47.1600688468158,30.8612440191388,69.1387559808612,80.2861685214626,90.6443785386897,NA,8.3,9.7,20.8,3.7,9.6,50.5892255892256,62.8787878787879,10.8405330399934,NA,100,NA
6081600502,Census Tract 6005.02; San Mateo County; California,-122.45583813,37.69494343,4228,72.5638599810785,2.81456953642384,0,0,69.5600756859035,0,0,0.189214758751183,27.4361400189215,3286,47063,4211,514,20.2334630350195,13.4241245136187,5.5,33.6575875486381,41.69202678028,58.30797321972,86.9683964104565,97.1854304635762,NA,7.6,9.3,17.6,3.8,8.5,48.7387387387387,69.2792792792793,10.3154140585122,42.0006222403044,73,44.6020301621734
6081600600,Census Tract 6006; San Mateo County; California,-122.46658743,37.69755078,4863,60.0452395640551,3.1667694838577,1.04873534855028,0,54.5342381246144,0,0,1.2954966070327,39.9547604359449,3860,47500,4846,615,8.29268292682927,19.349593495935,3.9,27.6422764227642,44.0155440414508,55.9844559585492,75.3346624893193,96.8332305161423,NA,8.2,9.7,21.6,3.6,10.5,47.9986197377502,37.4741200828157,11.8572245477737,44.8160535117057,100,NA
6081600701,Census Tract 6007.01; San Mateo County; California,-122.46257964,37.70633518,3287,78.8256769090356,13.7815637359294,2.1600243383024,0,58.9291146942501,0,0,3.9549741405537,21.1743230909644,2650,42168,3284,266,0,16.1654135338346,8.1,16.1654135338346,46.4528301886792,53.5471698113207,86.737400530504,86.2184362640706,NA,8.2,12.6,21.8,4.5,12,41.0607356715141,71.4285714285714,10.8884764298867,40.0749063670412,100,0
6081600702,Census Tract 6007.02; San Mateo County; California,-122.46713293,37.70334291,2778,86.5010799136069,14.3268538516919,0.719942404607631,1.54787616990641,65.0467962562995,0.827933765298776,0.611951043916487,3.41972642188625,13.4989200863931,2220,47477,2778,464,0,18.3189655172414,0.5,18.3189655172414,27.4324324324324,72.5675675675676,88.4904569115095,85.6731461483081,NA,7.6,7.9,18.8,3,6.8,53.6830357142857,63.5044642857143,11.6534793222626,72.7272727272727,100,NA
